city,province
Afar,Nineveh
al-Fallujah,Anbar
Amara,Maysan
Amarah,Maysan
Arbil,Arbil
Ba’aj,Nineveh
Baaj,Nineveh
Baaquba,Diyala
Babylon,Babil
Bagdad,Baghdad
Baghdad,Baghdad
Bahriz,Diyala
Bahrz,Diyala
Baiji,Salah ad Din
Balad,Salah ad Din
Baladroos,Diyala
Baladrooz,Diyala
Baladros,Diyala
Baladrouz,Diyala
Baladroz,Diyala
Baladruz,Diyala
Baldrouz,Diyala
Baldroze,Diyala
Baldruz,Diyala
Baqouba,Diyala
Baquba,Diyala
Baqubah,Diyala
Basra,Basra
Basrah,Basra
Bayji,Salah ad Din
Beij,Salah ad Din
Beiji,Salah ad Din
Buhriz,Diyala
Buhruz,Diyala
Dahuk,Dahuk
Daquq,Kirkuk
Dhuluiya,Salah ad Din
Diala,Diyala
Diwaniya,Qadisiyyah
Diwaniyah,Qadisiyyah
Dujail,Salah ad Din
Dujayl,Salah ad Din
Falluja,Anbar
Fallujah,Anbar
Garma,Anbar
Gharib,Baghdad
Ghraib,Baghdad
Graib,Baghdad
Haditha,Anbar
Hawija,Salah ad Din
Hibhib,Diyala
Hilla,Babil
Hillah,Babil
Hit,Anbar
Ishaaqi,Salah ad Din
Ishaki,Salah ad Din
Ishaqee,Salah ad Din
Ishaqi,Salah ad Din
Iskandariya,Baghdad
Iskandariyah,Baghdad
Jalawla,Diyala
Jalawlaa,Diyala
Kanan,Diyala
Karbala,Karbala
Karma,Anbar
Karmah,Anbar
Karmeh,Anbar
Kerbala,Karbala
Khalis,Diyala
Khormato,Salah ad Din
Khurmato,Salah ad Din
Khurmatu,Salah ad Din
Kirkuk,Kirkuk
Kufa,Najaf
Kut,Wasit
Latefiya,Babil
Latifiya,Babil
Latifiyah,Babil
Madaen,Babil
Madain,Babil
Madean,Babil
Mahaweel,Babil
Mahawil,Babil
Mahmoudiya,Baghdad
Mahmoudiyah,Baghdad
Mahmudiya,Baghdad
Mosul,Nineveh
Mosyyab,Babil
Muqdadiya,Diyala
Muqdadiyah,Diyala
Miqdadiyeh,Diyala
Musayab,Babil
Musayeb,Babil
Musayyib,Babil
Mussayab,Babil
Muthanna,Muthanna
Nahrawan,Salah ad Din
Najaf,Najaf
Nasiriya,Dhi Quar
Nasiriyah,Dhi Quar
Nasriya,Dhi Quar
Nassiriya,Dhi Quar
Nassiriyah,Dhi Quar
Ninewa,Nineveh
Numaniya,Wasit
Numaniyah,Wasit
Qaem,Anbar
Qaim,Anbar
Qaiyara,Nineveh
Qayara,Nineveh
Qayyarah,Nineveh
Ramadi,Anbar
Rashad,Baghdad
Rasheed,Baghdad
Rashid,Baghdad
Riyadh,Kirkuk
Ruz,Diyala
Saad,Diyala
Saadiy,Diyala
Saadiya,Diyala
Sadiya,Diyala
Sadiyah,Diyala
Sakhar,Babil
Sakher,Babil
Sakhr,Babil
Salahuddin,Salah ad Din
Samara,Salah ad Din
Samarra,Salah ad Din
Samawa,Muthanna
Samawah,Muthanna
Sharqat,Nineveh
Sherqat,Salah ad Din
Shirqat,Salah ad Din
Shurqat,Salah ad Din
Sinjar,Nineveh
Sulaimaniyah,Sulaymaniyah
Sulaymaniyah,Sulaymaniyah
Suwayra,Wasit
Suwayrah,Wasit
Taji,Baghdad
Talafar,Nineveh
Tarmiya,Salah ad Din
Tikrit,Salah ad Din
Tuz,Salah ad Din
Waset,Wasit
Wasit,Wasit